2026-02-25 19:47:09,971 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:47:10,043 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:13,205 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:14,095 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:15,281 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:47:15,282 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:47:15,381 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:18,481 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:20,592 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:47:20,592 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:47:20,708 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:23,861 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:24,196 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:25,982 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:47:25,984 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:47:26,021 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:29,211 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:31,319 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:47:31,320 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:47:31,444 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:34,283 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:34,530 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:36,800 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:47:36,801 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:47:36,877 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:40,118 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:42,221 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:47:42,221 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:47:42,309 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:44,390 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:45,478 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:47,587 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:47:47,587 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:47:47,632 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:50,739 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:52,836 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:47:52,836 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:47:52,961 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:54,468 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:56,116 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:58,228 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:47:58,278 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:47:58,464 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:01,657 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:03,768 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:48:03,768 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:48:03,903 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:04,631 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:07,071 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:09,177 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:48:09,224 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:48:09,436 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:12,550 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:14,652 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:48:14,654 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:48:14,695 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:14,982 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:17,838 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:19,961 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:48:19,961 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:48:20,121 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:23,229 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:25,132 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:25,345 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:48:25,345 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:48:25,377 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:28,585 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:30,672 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:48:30,672 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:48:30,707 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:33,813 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:35,245 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:35,935 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:48:35,935 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:48:35,966 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:39,125 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:41,233 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:48:41,233 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:48:41,270 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:44,388 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:45,387 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:46,733 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:48:46,733 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:48:46,811 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:49,973 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:52,130 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:48:52,130 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:48:52,177 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:55,306 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:55,476 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:48:57,800 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:48:57,934 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:48:57,965 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:01,462 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:03,557 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:49:03,595 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:49:03,720 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:05,773 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:06,883 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:09,011 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:49:09,011 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:49:09,136 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:12,316 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:14,423 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:49:14,423 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:49:14,564 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:15,996 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:17,683 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:19,793 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:49:19,793 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:49:19,824 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:23,057 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:25,203 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:49:25,203 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:49:25,318 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:26,136 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:28,484 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:30,572 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:49:30,574 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:49:30,649 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:33,802 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:35,913 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:49:35,913 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:49:35,945 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:36,319 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:39,137 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:41,233 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:49:41,234 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:49:41,283 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:44,445 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:46,404 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:46,530 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:49:46,531 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:49:46,560 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:49,672 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:51,790 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:49:51,790 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:49:51,821 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:55,014 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:56,568 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:49:57,088 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:49:57,090 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:49:57,171 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:50:00,256 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:50:02,348 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:50:02,348 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:50:02,379 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:50:05,489 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:50:06,711 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:50:07,586 | WARNING | computefabric_node | ollama_list_failed
